Method,Accuracy Score
knn_101_count,0.6243846076559831
knn_151_count,0.6141364412739877
knn_201_count,0.6029840249171105
multinomial_nb_count,0.7307846880337586
bernoulli_nb_count,0.7337988546166985
lr_count,0.7408821460866071
nn_log_adam_3_count,0.7432432432432432
nn_log_adam_64_count,0.741937104390636
nn_sgd_3_count,0.7450015070832915
nn_log_sgd_3_count,0.7393248266854214
"nn_sgd_(3, 1)_count",0.6123279413242239
"nn_log_adam_b3_(3, 3)_count",0.7378177433939516
"nn_log_adam_b80_(3, 3)_count",0.7403295488797348
"nn_log_adam_b500_(3, 3)_count",0.7434944237918215
"nn_log_adam_b1000_(3, 3)_count",0.7415854516226263
"nn_log_adam_(3, 3)_count",0.74223852104893
"nn_log_adam_(4, 2)_count",0.7436953682306842
"nn_tanh_(5, 3)_count",0.7414347432934794
"nn_logistic_(5, 3)_count",0.7382196322716769
"nn_logistic_(10, 5)_count",0.7445493820958505
"nn_logistic_(10, 10)_count",0.7435948960112528
"nn_logistic_(20, 10)_count",0.7437456043403998
"nn_logistic_(20, 10, 5)_count",0.7439465487792626
"nn_log_adam_(64, 64)_count",0.7403797849894505
"nn_log_adam_(256, 128, 64)_count",0.741334271074048
"nn_log_adam_(256, 128, 64, 32)_count",0.7410328544157541
"nn_log_adam_(512, 256, 128)_count",0.7425901738169396
"nn_log_adam_(200, 100, 50)_count",0.7395760072339997
"nn_sgd_(3, 3)_count",0.7421380488294986
"nn_log_sgd_(3, 3)_count",0.406661308148297
dt_count,0.6415653571787401
zero_r_count,0.406661308148297
knn_101_tfidf,0.697578619511705
multinomial_nb_tfidf,0.7256103687330453
bernoulli_nb_tfidf,0.7337988546166985
lr_tfidf,0.7416859238420577
nn_log_adam_3_tfidf,0.7430422988043806
nn_log_adam_64_tfidf,0.7434441876821059
nn_sgd_3_tfidf,0.7405807294283131
nn_log_sgd_3_tfidf,0.406661308148297
"nn_sgd_(3, 1)_tfidf",0.406661308148297
"nn_log_adam_b80_(3, 3)_tfidf",0.7419873405003516
"nn_log_adam_(3, 3)_tfidf",0.7433437154626745
"nn_log_adam_(4, 2)_tfidf",0.7402793127700191
"nn_log_adam_(64, 64)_tfidf",0.7416859238420577
"nn_log_adam_(256, 128, 64)_tfidf",0.7421882849392143
"nn_log_adam_(256, 128, 64, 32)_tfidf",0.741484979403195
"nn_log_adam_(512, 256, 128)_tfidf",0.7369134934190696
"nn_log_adam_(200, 100, 50)_tfidf",0.7414347432934794
"nn_sgd_(3, 3)_tfidf",0.7402793127700191
"nn_log_sgd_(3, 3)_tfidf",0.406661308148297
dt_tfidf,0.6367426906460364
zero_r_tfidf,0.406661308148297
knn_101_glove,0.6280518436652266
multinomial_nb_glove,0.4401687933286446
bernoulli_nb_glove,0.5889179141967246
lr_glove,0.6779363006128806
nn_log_adam_3_glove,0.6842158143273385
nn_log_adam_64_glove,0.7030041193609967
nn_sgd_3_glove,0.6786396061488998
nn_log_sgd_3_glove,0.6840148698884758
"nn_sgd_(3, 1)_glove",0.5970059278609464
"nn_log_adam_b80_(3, 3)_glove",0.6840651059981915
"nn_log_adam_(3, 3)_glove",0.6833618004621722
"nn_log_adam_(4, 2)_glove",0.6854214809605145
"nn_log_adam_(64, 64)_glove",0.7070732442479655
"nn_log_adam_(256, 128, 64)_glove",0.714156535717874
"nn_log_adam_(256, 128, 64, 32)_glove",0.7114940219029439
"nn_log_adam_(512, 256, 128)_glove",0.7177735356174018
"nn_log_adam_(200, 100, 50)_glove",0.7122977996583945
"nn_sgd_(3, 3)_glove",0.616045413443183
"nn_log_sgd_(3, 3)_glove",0.6741183562744901
dt_glove,0.5473224153521551
zero_r_glove,0.406661308148297
